volcano_number,volcano_name,country,latitude,longitude,vei,start_year,start_day,eruption_times,eruption_start_time,eruption_start_time_numeric,eruption_start_time_numeric_full,eruption_frequency,primary_volcano_type
285090,Shiretoko-Iozan,Japan,44.133,145.161,1.0,1935.0,0.0,7,1935-12-00,1935.9166666666667,1935.919406392694,Medium (3-10),Stratovolcanoes
311360,Shishaldin,United States,54.756,-163.97,2.0,2019.0,23.0,50,2019-07-23,2019.5629653964083,2019.56301369863,High (>10),Stratovolcanoes
222052,Silali,Kenya,1.15,36.23,2.0,-5050.0,0.0,3,5050-BCE-00-00,-5050.083333333333,-5049.997260273973,Medium (3-10),Shield
255050,Simbo,Solomon Islands,-8.292,156.52,2.0,1910.0,0.0,1,1910-00-00,1909.9166666666667,1910.0027397260276,Low (0-2),Stratovolcanoes
261080,Sinabung,Indonesia,3.17,98.392,2.0,2019.0,6.0,5,2019-02-06,2019.099759088918,2019.0997716894976,Medium (3-10),Stratovolcanoes
261070,Singkut,Indonesia,3.248,98.501,2.0,1881.0,0.0,1,1881-00-00,1880.9166666666667,1881.0027397260276,Low (0-2),Calderas
264270,Sirung,Indonesia,-8.508,124.13,1.0,2015.0,7.0,13,2015-07-07,2015.5191633815157,2015.519178082192,High (>10),Complex
263180,Slamet,Indonesia,-7.242,109.208,2.0,2014.0,8.0,46,2014-03-08,2014.188567674113,2014.1885844748856,High (>10),Stratovolcanoes
341021,Socorro,Mexico,18.78,-110.95,0.0,1993.0,29.0,6,1993-01-29,1993.079391151993,1993.0794520547945,Medium (3-10),Shield
357111,Sollipulli,Chile,-38.97,-71.52,2.0,1240.0,0.0,2,1240-00-00,1239.9166666666667,1240.0027397260274,Low (0-2),Calderas
266030,Soputan,Indonesia,1.112,124.737,2.0,2020.0,23.0,41,2020-03-23,2020.2296320630749,2020.2296803652969,High (>10),Stratovolcanoes
261120,Sorikmarapi,Indonesia,0.686,99.539,2.0,1996.0,5.0,10,1996-05-05,1996.3470214629872,1996.3470319634705,Medium (3-10),Stratovolcanoes
360060,Soufriere Guadeloupe,France,16.044,-61.664,2.0,1976.0,8.0,22,1976-07-08,1976.5219010074463,1976.521917808219,High (>10),Stratovolcanoes
360050,Soufriere Hills,United Kingdom,16.72,-62.18,3.0,2005.0,15.0,9,2005-04-15,2005.2910643889616,2005.291095890411,Medium (3-10),Stratovolcanoes
360150,Soufriere St. Vincent,Saint Vincent and the Grenadines,13.33,-61.18,3.0,1979.0,13.0,22,1979-04-13,1979.2855891371005,1979.285616438356,High (>10),Stratovolcanoes
390070,Southern Thule,United Kingdom,-59.442,-27.225,1.0,1975.0,2.0,1,1975-07-02,1975.5054752518613,1975.5054794520547,Low (0-2),Stratovolcanoes
313040,Spurr,United States,61.299,-152.251,4.0,1992.0,27.0,8,1992-06-27,1992.490582566798,1992.4906392694063,Medium (3-10),Stratovolcanoes
250010,St. Andrew Strait,Papua New Guinea,-2.38,147.35,2.0,1953.0,27.0,4,1953-06-27,1953.490582566798,1953.4906392694063,Medium (3-10),Complex
321050,St. Helens,United States,46.2,-122.18,2.0,2004.0,1.0,44,2004-10-01,2004.7527376259309,2004.7527397260276,High (>10),Stratovolcanoes
314010,St. Paul Island,United States,57.18,-170.3,2.0,1943.0,0.0,2,1943-00-00,1942.9166666666667,1943.0027397260276,Low (0-2),Shield
211040,Stromboli,Italy,38.789,15.213,2.0,1934.0,2.0,22,1934-02-02,1934.088808585195,1934.088812785388,High (>10),Stratovolcanoes
342160,Suchitan,Guatemala,14.4,-89.78,2.0,1469.0,0.0,1,1469-00-00,1468.9166666666667,1469.0027397260274,Low (0-2),Stratovolcanoes
